Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Unit Cost,Total Cost (Current),Average Age
United Airlines,United Airlines,Airbus A350,,,,35,$312,$0,
United Airlines,United Airlines,Boeing 727,,,3,3,$4,$0,
United Airlines,United Airlines,Boeing 737,321,2,295,620,$74,"$23,748",10.1
United Airlines,United Airlines,Boeing 747,21,,67,88,$316,"$6,632",21.2
United Airlines,United Airlines,Boeing 757,77,,83,160,$73,"$5,583",18.9
United Airlines,United Airlines,Boeing 767,51,,31,82,$187,"$9,532",19.5
United Airlines,United Airlines,Boeing 777,74,14,8,96,$295,"$21,797",17.5
Vietnam Airlines,Vietnam Airlines,Airbus A300,,,2,2,$75,$0,
Vietnam Airlines,Vietnam Airlines,Airbus A310,,,2,2,$75,$0,
Vietnam Airlines,Cambodia Angkor Air,Airbus A320,1,1,,2,$98,$98,0.1
Vietnam Airlines,Jetstar Pacific Airlines,Airbus A320,13,1,4,18,$98,"$1,274",7
Vietnam Airlines,Vietnam Airlines,Airbus A320,,,19,19,$98,$0,
Vietnam Airlines,Vietnam Airlines,Airbus A321,56,,5,61,$115,"$6,434",5.8
Vietnam Airlines,Cambodia Angkor Air,Airbus A321,2,,4,6,$115,$230,7.9
Vietnam Airlines,Jetstar Pacific Airlines,Airbus A321,,,2,2,$115,$0,
Vietnam Airlines,Vietnam Airlines,Airbus A330,8,,5,13,$240,"$1,920",9.6
Vietnam Airlines,Vietnam Airlines,Boeing 737,,,5,5,$74,$0,
Vietnam Airlines,Jetstar Pacific Airlines,Boeing 737,,,5,5,$74,$0,
Vietnam Airlines,Vietnam Airlines,Boeing 767,,,17,17,$187,$0,
Vietnam Airlines,Vietnam Airlines,Boeing 777,4,,6,10,$295,"$1,178",12.8
Virgin America,Virgin America,Airbus A319,10,,,10,$90,$896,9.2
Virgin America,Virgin America,Airbus A320,53,,,53,$98,"$5,194",6.3
Virgin America,Virgin America,Airbus A321,,,,,$115,$0,
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A320,,,6,6,$98,$0,
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A321,,,1,1,$115,$0,
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A330,10,,,10,$240,"$2,400",5.1
Virgin Atlantic Airways,Virgin Atlantic Airways,Airbus A340,8,,21,29,$216,"$1,724",10.5
Virgin Atlantic Airways,Virgin Atlantic Airways,Boeing 747,8,,22,30,$316,"$2,526",17.1
Virgin Atlantic Airways,Virgin Atlantic Airways,Boeing 767,,,1,1,$187,$0,
Virgin Australia,Virgin Australia Regional,Airbus A320,2,,,2,$98,$196,18.8
Virgin Australia,Tigerair Australia,Airbus A320,14,,,14,$98,"$1,372",7.2
Virgin Australia,Virgin Australia,Airbus A330,6,,2,8,$240,"$1,440",3.9
Virgin Australia,Virgin Australia,Boeing 737,75,,26,101,$74,"$5,549",6.7
Virgin Australia,Virgin Samoa,Boeing 737,1,,1,2,$74,$74,5.1
Virgin Australia,Tigerair Australia,Boeing 737,3,1,,4,$74,$222,12.5
Virgin Australia,Virgin Australia,Boeing 777,5,,,5,$295,"$1,473",7.4
Volaris,Volaris,Airbus A319,15,,9,24,$90,"$1,344",9.7
Volaris,Volaris,Airbus A320,44,3,1,48,$98,"$4,312",3.3
Volaris,Volaris,Airbus A321,9,1,,10,$115,"$1,034",0.6
WestJet,WestJet,Boeing 737,114,1,40,155,$74,"$8,434",8.3
WestJet,WestJet,Boeing 757,,,1,1,$73,$0,
WestJet,WestJet,Boeing 767,4,,,4,$187,$748,24.5
Wizz Air,Wizz Air,Airbus A320,63,,9,72,$98,"$6,174",5.1
Wizz Air,Wizz Air,Airbus A321,11,4,,15,$115,"$1,264",0.6
